"date","logret"
2001-03-08,0.00775963
2001-03-09,-0.0087337
2001-03-12,-0.02466855
2001-03-13,0.00398793
2001-03-14,-0.00999998
2001-03-15,-0.00807284
2001-03-16,-0.00304415
2001-03-19,0.00607906
2001-03-20,-0.01424214
2001-03-21,-0.01133464
2001-03-22,-0.01356297
2001-03-23,0.01459858
2001-03-26,0.00722014
2001-03-27,0.00614758
2001-03-28,-0.01336772
2001-03-29,0.0041325
2001-03-30,0.00923521
2001-04-02,-0.00614758
2001-04-03,-0.01972034
2001-04-04,0.00626963
2001-04-05,0.01550461
2001-04-06,-0.00823912
2001-04-09,0.00618522
2001-04-10,0.00410284
2001-04-11,-0.01755354
2001-04-12,0.00519496
2001-04-16,0
2001-04-17,0.01133464
2001-04-18,0.00204683
2001-04-19,0.00611624
2001-04-20,-0.00713914
2001-04-23,0.00408569
2001-04-24,-0.00408569
2001-04-25,0.01523649
2001-04-26,0.00402404
2001-04-27,0.0070038
2001-04-30,0.00099602
2001-05-01,0.01089674
2001-05-02,0.00098462
2001-05-03,-0.0019702
2001-05-04,0.00981353
2001-05-07,-0.00097692
2001-05-08,0.00292863
2001-05-09,-0.00097574
2001-05-10,0.00680631
2001-05-11,-0.00485651
2001-05-14,0.00097275
2001-05-15,0.00291405
2001-05-16,0.01730853
2001-05-17,0.00095236
2001-05-18,0.00190343
2001-05-21,0.00851841
2001-05-22,0.0009423
2001-05-23,-0.00756126
2001-05-24,0.00378777
2001-05-25,-0.01045154
2001-05-29,0.00381305
2001-05-30,-0.00955985
2001-05-31,0.00191915
2001-06-01,0
2001-06-04,0.00668853
2001-06-05,0.00759066
2001-06-06,-0.00378777
2001-06-07,-0.00094981
2001-06-08,-0.00475942
2001-06-11,-0.00670134
2001-06-12,-0.00096168
2001-06-13,0
2001-06-14,-0.00675342
2001-06-15,-0.00679898
2001-06-18,-0.00586586
2001-06-19,0.00098016
2001-06-20,0.01554967
2001-06-21,-0.00096503
2001-06-22,-0.01165065
2001-06-25,-0.0019548
2001-06-26,0.00585333
2001-06-27,-0.00097275
2001-06-28,0.0096899
2001-06-29,0
2001-07-02,0.00959691
2001-07-03,-0.00670847
2001-07-05,-0.0048187
2001-07-06,-0.00678688
2001-07-09,-0.00683253
2001-07-10,-0.00294226
2001-07-11,-0.00295168
2001-07-12,0.01175371
2001-07-13,0.00194529
2001-07-16,-0.0038951
2001-07-17,0.00970944
2001-07-18,0.00385717
2001-07-19,0.00767
2001-07-20,0.00476431
2001-07-23,-0.00380977
2001-07-24,-0.02121541
2001-07-25,0.01451407
2001-07-26,0.01714296
2001-07-27,0
2001-07-30,0.00846269
2001-07-31,0.00839168
2001-08-01,0.00740038
2001-08-02,-0.00647276
2001-08-03,0.00185403
2001-08-06,-0.00650282
2001-08-07,0.00093142
2001-08-08,-0.00466614
2001-08-09,0.00931096
2001-08-10,0.00277685
2001-08-13,0.00368994
2001-08-14,0.00825316
2001-08-15,-0.00274349
2001-08-16,0.00091522
2001-08-17,0
2001-08-20,0.00182827
2001-08-21,0.00091271
2001-08-22,-0.00091271
2001-08-23,0.00364621
2001-08-24,0.00272604
2001-08-27,-0.00454731
2001-08-28,-0.00365321
2001-08-29,-0.00734636
2001-08-30,-0.00369334
2001-08-31,0
2001-09-04,0.00369334
2001-09-05,0.00643113
2001-09-06,-0.00550967
2001-09-07,-0.01204302
2001-09-10,-0.00279947
2001-09-17,-0.02555753
2001-09-18,-0.00866642
2001-09-19,-0.00581999
2001-09-20,-0.03061964
2001-09-21,-0.03365918
2001-09-24,0.02256499
2001-09-25,-0.00101459
2001-09-26,-0.00203265
2001-09-27,0.01112824
2001-09-28,0.00401595
2001-10-01,-0.00603018
2001-10-02,0.00603018
2001-10-03,0.00599367
2001-10-04,0.00199055
2001-10-05,-0.00398433
2001-10-08,-0.00600604
2001-10-09,-0.00200981
2001-10-10,0.01596832
2001-10-11,0.00690668
2001-10-12,-0.00394078
2001-10-15,0.00098656
2001-10-16,0.00491862
2001-10-17,-0.00788159
2001-10-18,0.00296297
2001-10-19,0.00589937
2001-10-22,0.00489012
2001-10-23,-0.00097597
2001-10-24,0.00097597
2001-10-25,0.00970944
2001-10-26,0.00289401
2001-10-29,-0.00870835
2001-10-30,-0.00780506
2001-10-31,0.002934
2001-11-01,0.00778228
2001-11-02,0.00193623
2001-11-05,0.0038609
2001-11-06,0.006721
2001-11-07,0.01236372
2001-11-08,-0.00189262
2001-11-09,0
2001-11-12,0.00283724
2001-11-13,0.01685437
2001-11-14,0.01108047
2001-11-15,0.0127737
2001-11-16,-0.00545423
2001-11-19,0.00726595
2001-11-20,0.00631443
2001-11-21,-0.00631443
2001-11-23,0.00811183
2001-11-26,0.00358413
2001-11-27,-0.00358413
2001-11-28,-0.00540057
2001-11-29,0.01611465
2001-11-30,0.00884203
2001-12-03,0
2001-12-04,0.00789101
2001-12-05,0.01042616
2001-12-06,0.00517244
2001-12-07,-0.00172128
2001-12-10,-0.00604744
2001-12-11,-0.00260304
2001-12-12,-0.00348119
2001-12-13,-0.00436885
2001-12-14,0.00262321
2001-12-17,0.00782988
2001-12-18,0.00776872
2001-12-19,0.00257622
2001-12-20,-0.0042975
2001-12-21,0.00601141
2001-12-24,0.00171066
2001-12-26,-0.00085528
2001-12-27,0.00426847
2001-12-28,-0.00098364
2001-12-31,-0.00179057
2002-01-02,0.00357761
2002-01-03,0.00089249
2002-01-04,0.00267301
2002-01-07,-0.00445846
2002-01-08,0.00267746
2002-01-09,-0.00446642
2002-01-10,-0.01261252
2002-01-11,-0.00272397
2002-01-14,-0.00913244
2002-01-15,0.00366312
2002-01-16,-0.00182988
2002-01-17,0.00820823
2002-01-18,0.00090756
2002-01-22,-0.00090756
2002-01-23,0.00181494
2002-01-24,0
2002-01-25,0.00632615
2002-01-28,0.00986079
2002-01-29,-0.00626356
2002-01-30,0.00358402
2002-01-31,0.00446212
2002-02-01,-0.00267507
2002-02-04,-0.00537107
2002-02-05,0.00358402
2002-02-06,-0.00089488
2002-02-07,-0.00358756
2002-02-08,0.00448244
2002-02-11,0.00178705
2002-02-12,0.00267507
2002-02-13,0.00532877
2002-02-14,0
2002-02-15,0.00088569
2002-02-19,-0.00710504
2002-02-20,0.01063809
2002-02-21,-0.00441874
2002-02-22,0.00618091
2002-02-25,0.00526795
2002-02-26,0.0008753
2002-02-27,0.00087422
2002-02-28,-0.00174952
2002-03-01,0.00958611
2002-03-04,0.00346331
2002-03-05,-0.00433071
2002-03-06,0.00950299
2002-03-07,-0.00086024
2002-03-08,0.00171974
2002-03-11,-0.00171974
2002-03-12,0
2002-03-13,-0.00258517
2002-03-14,0.00430492
2002-03-15,0.00428616
2002-03-18,0.00170945
2002-03-19,0.00255872
2002-03-20,-0.00598055
2002-03-21,0.00342184
2002-03-22,-0.00256497
2002-03-25,-0.00601137
2002-03-26,0.00772198
2002-03-27,0.00341308
2002-03-28,0.00085145
2002-04-01,-0.00255653
2002-04-02,0.0008529
2002-04-03,-0.0008529
2002-04-04,0.00255653
2002-04-05,0.00339858
2002-04-08,0.0067624
2002-04-09,-0.00084284
2002-04-10,0.00588472
2002-04-11,-0.00672828
2002-04-12,0.01007596
2002-04-15,-0.00334768
2002-04-16,0.00501689
2002-04-17,-0.00417929
2002-04-18,0
2002-04-19,0.00501299
2002-04-22,-0.00501299
2002-04-23,0.00167399
2002-04-24,-0.00167399
2002-04-25,0.00083779
2002-04-26,-0.00503372
2002-04-29,-0.00168355
2002-04-30,0.00671727
2002-05-01,0.00584053
2002-05-02,0.00580662
2002-05-03,-0.0008275
2002-05-06,-0.00248631
2002-05-07,0
2002-05-08,0.00414062
2002-05-09,-0.00414062
2002-05-10,-0.00582624
2002-05-13,0.00914006
2002-05-14,0.00987663
2002-05-15,0.00081869
2002-05-16,0.00081802
2002-05-17,0.00326512
2002-05-20,-0.00572119
2002-05-21,-0.00493002
2002-05-22,0.00164585
2002-05-23,0.00410354
2002-05-24,-0.00492627
2002-05-28,-0.0016472
2002-05-29,0
2002-05-30,0.0016472
2002-05-31,0.00328687
2002-06-03,-0.01321223
2002-06-04,-0.00333066
2002-06-05,0.00499184
2002-06-06,-0.00749714
2002-06-07,0
2002-06-10,0.00583596
2002-06-11,-0.00583596
2002-06-12,-0.00586992
2002-06-13,0.01915926
2002-06-14,-0.00247839
2002-06-17,0.01640718
2002-06-18,0.00243811
2002-06-19,-0.00081175
2002-06-20,-0.00244009
2002-06-21,-0.01559344
2002-06-24,-0.01584016
2002-06-25,-0.01013553
2002-06-26,-0.01626041
2002-06-27,-0.00086321
2002-06-28,0.01457391
2002-07-01,-0.00597514
2002-07-02,-0.02338791
2002-07-03,-0.00175444
2002-07-05,0.02770733
2002-07-08,-0.01030053
2002-07-09,-0.00172686
2002-07-10,-0.03160965
2002-07-11,0.003562
2002-07-12,-0.00534745
2002-07-15,0.00267746
2002-07-16,-0.01707895
2002-07-17,0.00542449
2002-07-18,-0.0172809
2002-07-19,-0.01851896
2002-07-22,-0.01886873
2002-07-23,-0.03095017
2002-07-24,0.01849223
2002-07-25,-0.02144328
2002-07-26,0.04620619
2002-07-29,0.03784503
2002-07-30,0.01438854
2002-07-31,-0.00716839
2002-08-01,-0.00812606
2002-08-02,-0.00090738
2002-08-05,-0.02294703
2002-08-06,0.01474661
2002-08-07,0.00274074
2002-08-08,0.02076856
2002-08-09,0.00267746
2002-08-12,0.00266999
2002-08-13,-0.01432445
2002-08-14,0.02052727
2002-08-15,0.01838151
2002-08-16,0.01804942
2002-08-19,0.02854936
2002-08-20,0.00330589
2002-08-21,0.01717828
2002-08-22,0.00566133
2002-08-23,-0.01217062
